,white_count,black_count,white_hispanic_count,black_hispanic_count,asian_pacific_count,native_alaskan_count
CALM,442.0,2723.0,924.0,372.0,121.0,1.0
NERVOUS,210.0,1109.0,494.0,210.0,49.0,1.0
NORMAL,103.0,488.0,205.0,92.0,17.0,
COOPERATIVE,68.0,362.0,170.0,70.0,15.0,2.0
UPSET,57.0,596.0,150.0,82.0,10.0,
COMPLIANT,53.0,272.0,129.0,48.0,12.0,
AGITATED,31.0,322.0,99.0,34.0,10.0,
ANGRY,27.0,335.0,77.0,32.0,1.0,
CONFUSED,23.0,110.0,48.0,15.0,8.0,
ANNOYED,15.0,212.0,49.0,22.0,2.0,
UNDERSTANDING,15.0,226.0,76.0,32.0,16.0,1.0
ANXIOUS,14.0,41.0,21.0,4.0,3.0,
SCARED,13.0,34.0,20.0,4.0,5.0,
SWEATING,11.0,58.0,19.0,5.0,2.0,
INTOXICATED,11.0,37.0,25.0,7.0,1.0,
IRATE,11.0,148.0,29.0,12.0,3.0,
COMBATIVE,10.0,129.0,32.0,19.0,1.0,
APPARENTLY,10.0,95.0,39.0,13.0,,
QUIET,10.0,27.0,8.0,1.0,4.0,
TALKATIVE,9.0,26.0,20.0,6.0,,
UNCOOPERATIVE,9.0,173.0,34.0,14.0,4.0,2.0
BELLIGERENT,6.0,25.0,3.0,2.0,1.0,
ERRATIC,6.0,16.0,2.0,3.0,,
SURPRISED,5.0,37.0,15.0,2.0,,
RELAXED,5.0,44.0,11.0,4.0,4.0,
EXCITED,5.0,16.0,14.0,7.0,1.0,
HAPPY,5.0,44.0,7.0,4.0,2.0,
EXTREMELY,5.0,9.0,2.0,2.0,,
AGGRESSIVE,5.0,120.0,24.0,14.0,,
COMPLIMENT,4.0,8.0,1.0,,,
RESPECTFUL,4.0,9.0,9.0,,,
COLLECTIVE,4.0,8.0,1.0,,,
FRIENDLY,4.0,17.0,,,1.0,
INDIFFERENT,4.0,18.0,5.0,,,
COMPLIANCE,3.0,3.0,,1.0,,
RUNNING,3.0,16.0,7.0,4.0,,
NEUTRAL,3.0,5.0,1.0,2.0,,
CRYING,3.0,13.0,10.0,4.0,1.0,
POLITE,3.0,11.0,5.0,,,
SPEECH,3.0,2.0,,,,
CONFRONTATIONAL,3.0,14.0,5.0,1.0,,
FRUSTRATED,3.0,25.0,9.0,2.0,,
WORRIED,3.0,14.0,3.0,,1.0,
PROFUSELY,3.0,4.0,2.0,,,
HIGHLY,3.0,20.0,10.0,2.0,3.0,1.0
EVASIVE,3.0,32.0,5.0,4.0,,
IRRITATED,3.0,27.0,9.0,5.0,,
PLEASANT,3.0,9.0,1.0,2.0,1.0,
SUPRISED,2.0,6.0,2.0,1.0,,
REFUSED,2.0,5.0,,,,
SLURRED,2.0,,,,,
APOLOGETIC,2.0,29.0,6.0,7.0,1.0,
DISRESPECTFUL,2.0,8.0,3.0,,,
FRANTIC,2.0,6.0,1.0,,,
HANDS,2.0,1.0,3.0,,,
STOP,2.0,21.0,9.0,3.0,,
APPREHENSIVE,2.0,1.0,,1.0,,
DEFENSIVE,2.0,20.0,10.0,4.0,,
NONE,2.0,10.0,2.0,1.0,,
NON-COMPLIANCE,2.0,24.0,4.0,2.0,,
EMOTIONALLY,2.0,5.0,,,,
DISTURBED,2.0,5.0,,,,
CONCERNED,2.0,6.0,2.0,2.0,,
ARGUMENTATIVE,2.0,29.0,4.0,5.0,,
PASSIVE,2.0,9.0,3.0,,1.0,
SLIGHTLY,2.0,6.0,5.0,3.0,,
OFFICER,2.0,4.0,,2.0,,
REMORSEFUL,2.0,3.0,,1.0,,
GRATEFUL,2.0,2.0,,,,
AGGRAVATED,2.0,46.0,6.0,4.0,,
BREATH,2.0,48.0,10.0,8.0,1.0,
DISORIENTED,2.0,2.0,4.0,,,
AWAY,2.0,10.0,1.0,1.0,,
COOPERATE,1.0,2.0,,,,
MOVEMENTS,1.0,2.0,1.0,,,
OFFICERS,1.0,10.0,3.0,,,
HARD,1.0,3.0,,,,
FURTIVE,1.0,3.0,2.0,,,
MISLEADING,1.0,,1.0,,,
HEARING,1.0,,,,,
STATEMENTS,1.0,,,,,
JITTERY,1.0,4.0,,,,
SHAKE,1.0,1.0,,,,
FLOURISH,1.0,,,,,
IRRATIONAL,1.0,1.0,2.0,,,
WANT,1.0,2.0,,1.0,,
SWEATY,1.0,8.0,11.0,1.0,,
UNWILLING,1.0,,,,,
SUSPECT,1.0,1.0,,,,
GIVE,1.0,,1.0,,,
UNIFORM,1.0,,,,,
FACE,1.0,,,,,
HEAVILY,1.0,1.0,1.0,2.0,1.0,
SURPRISE,1.0,1.0,,,,
MOVED,1.0,,1.0,,,
AROUND,1.0,6.0,4.0,1.0,,
A LOT,1.0,1.0,1.0,,,
INITIALLY,1.0,5.0,3.0,,,
SHOCKED,1.0,19.0,2.0,2.0,,
SHAKING,1.0,12.0,4.0,3.0,,
SWEATED,1.0,,,,,
ATTEMPTING,1.0,6.0,1.0,,,
TENSE,1.0,2.0,3.0,1.0,,
SYNAGOGUE,1.0,,,,,
FEET,1.0,,,,,
RELAX,1.0,3.0,1.0,,,
THANKFUL,1.0,17.0,7.0,3.0,,
REGRETFUL,1.0,,,,,
BACK,1.0,2.0,,1.0,,
BEHIND,1.0,1.0,,,,
TIRED,1.0,12.0,4.0,4.0,1.0,
UNKNOWN,1.0,6.0,1.0,,,
PLACE,1.0,,,,,
COMPLY,1.0,8.0,1.0,1.0,,
PLACES,1.0,,,,,
UNSTEADY,1.0,,,,,
NAME,1.0,,,,,
RECEIVED,1.0,1.0,2.0,,,
FEIGNING,1.0,,,,,
INSIDE,1.0,,1.0,,,
COLLECTED,1.0,3.0,1.0,,,
COMPLAINT,1.0,3.0,2.0,,,
COMPLAINANT,1.0,,,,,
THREATS,1.0,,,,,
MADE,1.0,1.0,,,,
CO-OPERATIVE,1.0,2.0,,,,
CLAM,1.0,7.0,1.0,3.0,1.0,
CLAIM,1.0,3.0,,1.0,,
AFRAID,1.0,5.0,1.0,,,
UNKEMPT,1.0,,,,,
BEER,1.0,,,,,
DRINKING,1.0,,,,,
COMPLYING,1.0,5.0,2.0,,,
PD,1.0,6.0,,,,
COOPERATING,1.0,1.0,1.0,,1.0,
HEAVY,1.0,13.0,3.0,1.0,,
UNCOMMUNICATIVE,1.0,,,,,
BREATHING,1.0,17.0,4.0,3.0,1.0,
VERBALLY,1.0,15.0,3.0,5.0,,
FAMILY,1.0,,,,,
PROBLEM,1.0,,,,,
TOLD,1.0,,1.0,,,
R,1.0,,,,,
APPROACHED,1.0,,,,,
APPEARED,1.0,2.0,,,,
AP,1.0,1.0,1.0,1.0,1.0,
AUTISM,1.0,,,,,
AIDED,1.0,,,,,
AGRESSIVE,1.0,12.0,3.0,3.0,,
DISCOURTEOUS,1.0,1.0,,,,
HOSTILE,1.0,46.0,5.0,4.0,,
SCENE,1.0,3.0,1.0,,,
PCT,1.0,,,,,
CELL,1.0,1.0,,,,
ALCOHOL,1.0,3.0,4.0,2.0,,
PAIN,1.0,,,,,
KEYS,1.0,,,,,
DINT,1.0,1.0,,1.0,,
CAUSE,1.0,,,,,
CAR,1.0,,,,,
HIT,1.0,,,,,
HYPER,1.0,1.0,1.0,,,
RESISTANT,1.0,3.0,1.0,,,
HELP,1.0,1.0,,,,
SPEAK,1.0,3.0,,,,
LETTING,1.0,,,,,
FRIGHTENED,1.0,,2.0,1.0,,
FRIGHTEN,1.0,,,,,
FINE,1.0,6.0,9.0,3.0,,
FIXITY,1.0,,,,,
BEWILDERMENT,1.0,,,,,
AGITATION,1.0,,,,,
LOUD,1.0,16.0,1.0,3.0,,
TALKING,1.0,6.0,2.0,1.0,,
EDP,1.0,8.0,3.0,,,
GOING,1.0,2.0,1.0,1.0,,
EASY,1.0,1.0,,,,
DISCONTENT,1.0,,1.0,,,
DEFEATED,1.0,7.0,,1.0,,
CORDIAL,1.0,7.0,1.0,,,
COOL,1.0,7.0,2.0,,,
ALARMED,1.0,4.0,1.0,1.0,,
RUN,1.0,4.0,,,,
WANTING,1.0,1.0,,,,
YELLING,1.0,11.0,1.0,,,
PERSON,,14.0,6.0,,,
STOPPED,,14.0,1.0,2.0,1.0,
LEAVE,,14.0,1.0,1.0,,
POLICE,,13.0,5.0,1.0,,
FLEE,,12.0,2.0,2.0,,
FLED,,12.0,2.0,,,
APP,,12.0,7.0,1.0,,
DISORDERLY,,12.0,7.0,4.0,,
VIOLENT,,11.0,7.0,5.0,,
MAD,,11.0,6.0,1.0,,
UNDERSTOOD,,11.0,2.0,,,
REASON,,10.0,4.0,,,
LAUGHING,,9.0,3.0,,,
UNHAPPY,,8.0,4.0,,,
ACTING,,8.0,2.0,1.0,,
THREATENING,,8.0,1.0,1.0,,
UNDERSTANDABLE,,8.0,2.0,1.0,,
WANTED,,7.0,2.0,,,
BREATHE,,7.0,,1.0,,
ATTEMPTED,,7.0,2.0,1.0,,
DEFIANT,,6.0,,,,
GOOD,,6.0,5.0,,,
RUSH,,6.0,1.0,,,
FIDGETY,,6.0,4.0,1.0,,
RELIEVED,,6.0,1.0,2.0,,
INCONSISTENT,,6.0,,,,
FOOT,,6.0,1.0,,,
LOCATION,,6.0,3.0,,,
DEMEANOUR,,6.0,,1.0,,
SUBJECT,,5.0,3.0,1.0,,
EXPLAINED,,5.0,1.0,2.0,,
BEHAVIOR,,5.0,2.0,2.0,,
WALK,,5.0,1.0,,,
MOVING,,5.0,2.0,1.0,,
INSTRUCTIONS,,5.0,1.0,,,
DEFT,,5.0,,,,
OK,,5.0,5.0,,,
VULGAR,,5.0,,,,
RESISTING,,5.0,3.0,2.0,,1.0
VERBAL,,4.0,,,,
POSITIVE,,4.0,,,,
BODY,,4.0,1.0,,,
JUMPY,,4.0,,,,
INQUISITIVE,,4.0,1.0,,1.0,
RELATIVELY,,4.0,,,,
FLEEING,,4.0,2.0,1.0,,
SUSPICIOUS,,4.0,2.0,,,
NICE,,4.0,1.0,,,
APPRECIATIVE,,4.0,5.0,,,
UK,,4.0,1.0,1.0,,
WALKING,,3.0,3.0,,,
FLUSTERED,,3.0,,,,
SEEMED,,3.0,1.0,1.0,,
C,,3.0,1.0,,,
ANGER,,3.0,1.0,,,
NONCOMPLIANCE,,3.0,,,,
STARTLED,,3.0,2.0,1.0,,
ARREST,,3.0,,1.0,,
HESITANT,,3.0,2.0,1.0,,
PHYSICALLY,,3.0,,,,
DUE,,3.0,1.0,,,
COMPLIED,,3.0,2.0,1.0,,
SMILING,,3.0,,,,
ARROGANT,,3.0,1.0,1.0,,
SOMEWHAT,,3.0,1.0,,,
CASUAL,,3.0,1.0,,,
CALMED,,3.0,3.0,,,
SATISFIED,,3.0,1.0,,,
PROVIDE,,3.0,,1.0,,
AMICABLE,,3.0,,,,
RESPONSES,,3.0,,,,
VISIBLY,,3.0,1.0,,,
STAND,,3.0,,,,
APPARENT,,3.0,,1.0,,
DISTRAUGHT,,3.0,,,,
DRUNK,,3.0,4.0,,,
FIDGETING,,3.0,,,,
ISSUES,,3.0,,,,
NON-COMBATIVE,,3.0,,,,
UNEASY,,3.0,,1.0,,
TRIED,,3.0,,,,
LIKE,,3.0,,,,
BOTHERED,,3.0,1.0,1.0,,
ANIMATED,,3.0,,,,
SAD,,3.0,3.0,2.0,1.0,
ORDERS,,3.0,1.0,,,
OKAY,,3.0,1.0,,,
WALKED,,2.0,,,,
EMOTIONAL,,2.0,,1.0,,
EXHAUSTED,,2.0,2.0,1.0,,
ANYTHING,,2.0,1.0,,,
LANGUAGE,,2.0,,1.0,,
UNABLE,,2.0,,,,
VAGUE,,2.0,,,,
FATIGUED,,2.0,,,,
ARMS,,2.0,1.0,,,
FEMALE,,2.0,1.0,,,
FOLLOWING,,2.0,1.0,,,
DIRECTIONS,,2.0,,,,
OBSCENE,,2.0,,,,
RESPONDING,,2.0,,,,
RUDE,,2.0,1.0,,,
SLEEPY,,2.0,1.0,,,
HEART,,2.0,,,,
MALE,,2.0,4.0,,,
STANDING,,2.0,,,,
NONCHALANT,,2.0,,2.0,,
EYE,,2.0,1.0,,,
CONTACT,,2.0,1.0,,,
STORE,,2.0,,,,
MUMBLING,,2.0,,,,
SPEAKING,,2.0,,1.0,,
BEATING,,2.0,,,,
ANTS,,2.0,,,,
CHEST,,2.0,,,,
NERVOUSNESS,,2.0,,,,
COMMANDS,,2.0,1.0,,,
ASKED,,2.0,3.0,1.0,,
RESTLESS,,2.0,1.0,,,
SCREAMING,,2.0,1.0,,,
CHALLENGING,,2.0,,,,
PEDIGREE,,2.0,,,,
TRAFFIC,,2.0,,,,
TUMULTUOUS,,2.0,1.0,2.0,,
JOYFUL,,2.0,,,,
RECORDING,,2.0,,1.0,,
SAW,,2.0,,,,
INFORMED,,2.0,,,,
VOCAL,,2.0,,,,
PRIOR,,2.0,2.0,8.0,,
SORRY,,2.0,1.0,,,
HURRY,,2.0,,,,
INCOHERENT,,2.0,1.0,,,
RAMBLING,,2.0,1.0,,,
SAID,,2.0,1.0,,,
DEFENDANT,,2.0,,,,
ACCUSATORY,,2.0,,,,
REASONING,,2.0,,,,
UPON,,2.0,1.0,,,
IRRITATE,,2.0,1.0,,,
QUESTIONABLE,,2.0,,,,
EYES,,2.0,,1.0,,
USING,,2.0,,,,
TOWARDS,,2.0,,,1.0,
RESERVED,,2.0,,,,
COOPERATIVES,,2.0,,,,
CRIME,,2.0,,,,
BEGAN,,2.0,2.0,,,
RESISTED,,2.0,,1.0,,
FAIL,,2.0,,,,
CURIOUS,,2.0,1.0,,,
LAWFUL,,2.0,,,,
ORDER,,2.0,,,,
QUESTIONING,,2.0,,2.0,,
ADMITTED,,2.0,,,,
POSSIBLY,,2.0,3.0,,,
EXPLANATION,,2.0,1.0,,,
CONFIDENT,,2.0,,,,
BLAZING,,2.0,1.0,,,
GIVEN,,2.0,,,,
AGREEABLE,,2.0,,,,
FOLLOW,,2.0,,,,
PHYSICAL,,2.0,,,,
